# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0351302     	-4.023402e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0352777     	-3.735178e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0354253     	-3.438434e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0355729     	-3.161007e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0357204     	-2.990029e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.035868      	-2.716375e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0360156     	-2.572068e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0361632     	-2.463487e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0363166     	-2.299627e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0364701     	-2.245539e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0366236     	-2.092617e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0367771     	-2.052844e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0369305     	-1.834381e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.037084      	-1.797138e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0372375     	-1.644005e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0373909     	-1.634421e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0375444     	-1.471048e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0376979     	-1.432629e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0378623     	-1.356414e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0380268     	-1.283193e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0381912     	-1.260684e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0383556     	-1.203499e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0385201     	-1.262814e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0386845     	-1.251717e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0388489     	-1.322564e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0390134     	-1.433594e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0391778     	-1.494773e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0393423     	-1.677829e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0395067     	-1.810902e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0396711     	-2.026420e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0398356     	-2.257790e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04          	-2.553395e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0401754     	-2.806033e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0403541     	-3.040394e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0405327     	-3.373730e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0407113     	-3.590840e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04089       	-3.881540e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0410722     	-4.103863e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0412544     	-4.307476e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0414366     	-4.448349e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0416188     	-4.558759e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.041801      	-4.664618e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0419873     	-4.693650e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0421736     	-4.846481e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04236       	-4.975907e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0425463     	-5.168929e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0427327     	-5.446045e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.042919      	-5.661257e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0431054     	-5.950682e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0432917     	-6.189899e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.043478      	-6.455094e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0436699     	-6.673260e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0438617     	-6.901809e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0440535     	-7.090353e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0442453     	-7.266325e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0444371     	-7.420239e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.044629      	-7.500863e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0448208     	-7.618630e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0450126     	-7.683111e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0452044     	-7.749810e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0453963     	-7.885722e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0455881     	-8.083635e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0457799     	-8.366754e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0459717     	-8.645092e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0461635     	-9.022250e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0463554     	-9.270567e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0465472     	-9.457221e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.046739      	-9.518865e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0469308     	-9.520861e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0471227     	-9.372537e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0473145     	-9.288440e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0475063     	-9.101816e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0476981     	-8.990248e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04789       	-8.862474e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0480818     	-8.899576e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0482736     	-8.933847e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0484654     	-9.058690e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0486572     	-9.171704e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0488491     	-9.215735e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0490409     	-9.165895e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0492327     	-9.043919e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0494245     	-8.872580e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0496164     	-8.641869e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0498082     	-8.469867e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05          	-8.269061e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0502083     	-8.321881e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0504167     	-8.139363e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0506206     	-8.170396e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0508245     	-8.092530e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0510284     	-8.152091e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0512323     	-7.984494e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.051441      	-7.911734e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0516498     	-7.602718e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0518585     	-7.446104e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0520673     	-7.196674e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.052276      	-7.063623e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0524848     	-6.986034e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0526936     	-6.975436e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0529023     	-6.924777e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0531051     	-6.922159e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0533079     	-6.894224e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0535107     	-6.813217e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0537135     	-6.683363e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0539163     	-6.477044e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0541191     	-6.319876e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0543219     	-6.114277e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0545322     	-6.033482e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0547425     	-5.947377e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0549528     	-5.907645e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0551546     	-5.797394e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0553565     	-5.788823e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0555584     	-5.708031e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0557603     	-5.668888e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0559622     	-5.453606e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0561641     	-5.334092e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.056366      	-5.066755e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0565679     	-4.941109e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0567698     	-4.759451e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0569717     	-4.673614e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0571735     	-4.603342e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0573754     	-4.513751e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0575773     	-4.508799e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0577792     	-4.456003e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0579811     	-4.403573e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.058183      	-4.244905e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0583849     	-4.116810e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0585868     	-3.888856e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0587887     	-3.675384e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0589906     	-3.536198e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0591924     	-3.320234e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0593943     	-3.251459e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0595962     	-3.113425e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0597981     	-3.055993e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06          	-2.912260e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0602083     	-2.812726e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0604167     	-2.697783e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.060625      	-2.387360e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0608333     	-2.158105e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0610417     	-1.878515e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06125       	-1.607690e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0614583     	-1.419568e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0616667     	-1.184876e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.061875      	-1.049539e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
